class_name,class_desc,
Barbarian,A fierce warrior of primitive background who can enter a battle rage,
Bard,An inspiring magician whose power echoes the music of creation,
Paladin,A holy warrior bound to a sacred oath,
Rogue,A scoundrel who uses stealth and trickery to overcome obstacles and enemies,
Sorcerer,A spellcaster who draws on inherent magic from a gift or bloodline,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,"Magical Secrets, Bard College feature"
